7.0,5.0,17.0,15.0,14.0,13.0,13.0,0.0,0.0,4.0,3.5,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,3.4,5.0,3.0,2.0,3.0,5.0
8.0,5.0,19.0,18.0,17.0,16.0,15.0,0.0,1.0,5.0,3.2,3.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,7.0,2.0,1.0,5.0,3.8,1.0,2.0,3.0,2.0,8.0
9.0,7.0,23.0,19.0,19.0,19.0,18.0,2.0,0.0,6.0,3.17,0.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,3.29,5.0,3.0,4.0,5.0,1.0
1.0,1.0,6.0,4.0,4.0,4.0,3.0,0.0,3.0,1.0,4.0,2.67,0.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,6.0
2.0,1.0,6.0,6.0,5.0,4.0,4.0,0.0,2.0,2.0,3.0,3.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,5.0
3.0,2.0,11.0,7.0,6.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,5.5,0.0,0.0,2.0,2.0,1.0
4.0,2.0,11.0,10.0,7.0,6.0,6.0,1.0,1.0,3.0,3.33,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,5.5,0.0,0.0,2.0,2.0,3.0
5.0,3.0,13.0,10.0,10.0,8.0,7.0,3.0,1.0,3.0,3.33,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,4.33,2.0,1.0,2.0,2.0,6.0
6.0,4.0,14.0,10.0,10.0,10.0,9.0,6.0,1.0,3.0,3.33,2.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,3.5,3.0,2.0,2.0,2.0,2.0
7.0,5.0,16.0,15.0,12.0,11.0,9.0,4.0,1.0,6.0,2.0,3.0,3.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,3.2,3.0,3.0,2.0,2.0,7.0
8.0,6.0,19.0,16.0,15.0,15.0,9.0,0.0,1.0,6.0,3.17,2.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,7.0,10.0,1.0,5.0,3.2,3.0,3.0,2.0,2.0,2.0
1.0,1.0,5.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,4.33,0.0,5.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,3.0,1.0,5.0,0.0,0.0,1.0,0.0,6.0
2.0,3.0,7.0,6.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,3.0,3.0,2.33,3.0,2.0,1.0,0.0,7.0
3.0,4.0,9.0,9.0,8.0,6.0,4.0,1.0,1.0,3.0,3.0,5.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,4.0,2.25,3.0,3.0,1.0,0.0,7.0
4.0,5.0,10.0,10.0,10.0,8.0,6.0,3.0,2.0,4.0,2.5,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,5.0,2.0,3.0,4.0,1.0,0.0,3.0
5.0,4.0,15.0,15.0,13.0,12.0,10.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,3.75,0.0,2.0,2.0,2.0,8.0
6.0,6.0,16.0,15.0,13.0,12.0,10.0,4.0,0.0,6.0,2.67,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,2.0,4.0,3.75,0.0,2.0,2.0,2.0,5.0
7.0,5.0,18.0,18.0,16.0,14.0,10.0,2.0,0.0,7.0,2.57,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,3.6,2.0,3.0,2.0,2.0,5.0
1.0,2.0,4.0,4.0,3.0,2.0,1.0,0.0,4.0,2.0,2.0,3.0,0.0,5.0,2.0,0.0,4.0,0.0,1.0,0.0,7.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0
2.0,2.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.5,3.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,8.0
3.0,3.0,10.0,7.0,7.0,3.0,3.0,1.0,1.0,3.0,3.33,1.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,1.0,2.0,2.0,3.5,2.0,1.0,1.0,0.0,4.0
4.0,3.0,12.0,11.0,8.0,7.0,3.0,3.0,0.0,4.0,2.75,0.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0,4.0,5.0,1.0,2.0,0.0,6.0
5.0,3.0,12.0,11.0,10.0,8.0,7.0,3.0,1.0,4.0,2.75,5.0,5.0,5.0,2.0,2.0,0.0,1.0,0.0,1.0,8.0,3.0,1.0,3.0,4.0,5.0,1.0,2.0,0.0,4.0
6.0,4.0,18.0,16.0,9.0,8.0,8.0,2.0,0.0,5.0,3.2,0.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,4.5,5.0,1.0,3.0,1.0,6.0
7.0,5.0,19.0,16.0,13.0,13.0,8.0,2.0,1.0,5.0,3.2,4.0,5.0,5.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,5.0,3.8,5.0,2.0,3.0,1.0,3.0
8.0,6.0,20.0,19.0,15.0,13.0,8.0,0.0,2.0,6.0,3.33,5.5,5.0,5.0,2.0,4.0,0.0,2.0,1.0,1.0,7.0,2.0,6.0,5.0,3.8,5.0,2.0,3.0,1.0,2.0
9.0,6.0,22.0,21.0,18.0,13.0,10.0,1.0,1.0,7.0,3.0,6.0,5.0,5.0,3.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,6.0,3.67,5.0,3.0,3.0,1.0,2.0
1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,8.0
2.0,1.0,5.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,3.33,0.0,4.0,1.0,0.0,2.0,1.0,1.0,0.0,6.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,1.0,5.0
3.0,3.0,6.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,2.5,3.5,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,2.0,3.0,2.0,3.0,3.0,0.0,0.0,8.0
4.0,2.0,10.0,8.0,6.0,3.0,3.0,0.0,1.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,5.0,2.0,0.0,2.0,1.0,5.0
5.0,2.0,10.0,9.0,7.0,6.0,3.0,3.0,0.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,4.0,2.0,5.0,2.0,0.0,2.0,1.0,7.0
6.0,3.0,15.0,9.0,8.0,6.0,3.0,3.0,2.0,3.0,3.0,4.5,5.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,5.0,0.0,3.0,1.0,5.0
7.0,4.0,16.0,13.0,8.0,6.0,4.0,1.0,1.0,4.0,3.25,5.0,5.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,4.0,5.0,1.0,3.0,1.0,5.0
8.0,4.0,17.0,16.0,13.0,11.0,4.0,1.0,0.0,4.0,4.25,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,6.0,3.0,2.0,4.0,4.0,5.0,1.0,3.0,1.0,5.0
9.0,4.0,17.0,16.0,13.0,13.0,8.0,1.0,1.0,4.0,4.25,1.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,6.0,3.0,2.0,4.0,4.0,5.0,1.0,3.0,1.0,5.0
10.0,6.0,18.0,18.0,16.0,13.0,8.0,0.0,3.0,5.0,3.6,4.0,5.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,4.0,2.0,3.0,6.0,3.0,5.0,4.0,2.0,3.0,7.0
11.0,7.0,21.0,18.0,16.0,14.0,11.0,5.0,3.0,5.0,3.6,4.0,5.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,7.0,3.0,5.0,5.0,2.0,3.0,1.0
1.0,1.0,6.0,3.0,2.0,2.0,1.0,0.0,4.0,1.0,2.0,3.5,0.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,6.0
2.0,1.0,6.0,6.0,6.0,2.0,1.0,2.0,4.0,1.0,2.0,3.5,0.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,2.0
3.0,3.0,8.0,8.0,6.0,6.0,2.0,2.0,4.0,1.0,2.0,3.75,3.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,3.0,2.67,3.0,2.0,1.0,0.0,7.0
4.0,3.0,12.0,10.0,8.0,6.0,3.0,1.0,4.0,2.0,1.5,3.75,2.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,6.0
5.0,3.0,12.0,11.0,10.0,7.0,6.0,0.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0
6.0,4.0,17.0,16.0,10.0,7.0,6.0,5.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,4.0,4.25,2.0,1.0,3.0,2.0,4.0
7.0,5.0,20.0,16.0,11.0,10.0,9.0,0.0,5.0,4.0,2.75,2.8,2.0,5.0,3.0,1.0,4.0,1.0,0.0,0.0,7.0,0.0,2.0,5.0,4.0,2.0,2.0,3.0,2.0,4.0
8.0,6.0,22.0,20.0,14.0,13.0,10.0,3.0,4.0,5.0,2.8,2.75,3.0,5.0,4.0,1.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,3.67,3.0,3.0,3.0,2.0,3.0
9.0,8.0,28.0,22.0,16.0,14.0,10.0,3.0,4.0,5.0,2.8,2.75,5.0,5.0,4.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,8.0,3.5,5.0,4.0,4.0,2.0,7.0
1.0,1.0,3.0,2.0,2.0,1.0,0.0,4.0,3.0,1.0,2.0,3.33,4.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0
2.0,4.0,8.0,3.0,3.0,2.0,2.0,0.0,2.0,4.0,2.0,4.5,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,7.0,3.0,2.0,2.0,1.5,0.0,2.0,0.0,0.0,5.0
3.0,3.0,8.0,7.0,3.0,3.0,3.0,2.0,2.0,3.0,2.33,4.5,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,2.67,2.0,2.0,1.0,0.0,7.0
4.0,4.0,13.0,8.0,8.0,7.0,3.0,1.0,1.0,4.0,3.25,3.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,6.0,1.0,2.0,3.0,2.67,2.0,2.0,1.0,0.0,3.0
5.0,5.0,16.0,11.0,10.0,8.0,5.0,3.0,0.0,5.0,3.2,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,4.0,2.75,3.0,3.0,1.0,1.0,4.0
6.0,5.0,16.0,12.0,11.0,10.0,5.0,3.0,1.0,5.0,3.2,5.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,0.0,6.0
7.0,5.0,16.0,16.0,12.0,11.0,5.0,3.0,1.0,5.0,3.2,5.0,5.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,5.0,3.2,5.0,3.0,2.0,1.0,7.0
8.0,6.0,21.0,13.0,13.0,13.0,6.0,0.0,0.0,6.0,3.5,0.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,3.25,5.0,2.0,2.0,1.0,8.0
9.0,6.0,21.0,19.0,18.0,13.0,6.0,0.0,3.0,6.0,3.5,3.0,4.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,2.71,4.0,5.0,2.0,2.0,7.0
1.0,1.0,3.0,3.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,8.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0
2.0,2.0,8.0,5.0,3.0,2.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,2.0,4.0,0.0,1.0,1.0,1.0,3.0
3.0,3.0,10.0,8.0,8.0,7.0,5.0,1.0,1.0,1.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,3.33,3.0,2.0,1.0,1.0,4.0
4.0,4.0,13.0,10.0,8.0,7.0,5.0,1.0,2.0,1.0,5.0,5.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,4.0,3.25,3.0,3.0,1.0,1.0,6.0
5.0,5.0,18.0,13.0,12.0,11.0,5.0,3.0,2.0,1.0,5.0,5.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,5.0,3.6,3.0,3.0,2.0,3.0,5.0
6.0,6.0,23.0,18.0,17.0,11.0,5.0,4.0,1.0,1.0,5.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,3.83,3.0,3.0,3.0,5.0,1.0
7.0,6.0,23.0,20.0,18.0,16.0,7.0,3.0,1.0,2.0,3.5,4.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,6.0,3.83,3.0,3.0,3.0,5.0,5.0
8.0,6.0,23.0,20.0,19.0,16.0,7.0,4.0,2.0,2.0,3.5,4.5,3.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,6.0,3.83,3.0,3.0,3.0,5.0,4.0
9.0,7.0,24.0,23.0,20.0,19.0,12.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,7.0,3.43,4.0,4.0,3.0,6.0,7.0
1.0,1.0,4.0,3.0,2.0,2.0,0.0,0.0,3.0,1.0,4.0,2.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0
2.0,2.0,5.0,4.0,3.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,2.5,3.0,2.0,0.0,0.0,2.0
3.0,2.0,7.0,6.0,5.0,2.0,1.0,1.0,2.0,2.0,3.5,1.5,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,2.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0
4.0,3.0,10.0,8.0,8.0,3.0,3.0,3.0,1.0,3.0,2.67,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,3.33,2.0,2.0,1.0,1.0,4.0
5.0,4.0,13.0,11.0,9.0,6.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,3.25,5.0,3.0,1.0,1.0,6.0
6.0,5.0,16.0,14.0,12.0,8.0,3.0,2.0,1.0,4.0,3.0,2.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,5.0,3.2,5.0,4.0,1.0,1.0,8.0
7.0,5.0,16.0,14.0,12.0,8.0,4.0,0.0,2.0,4.0,3.0,3.0,5.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,8.0,4.0,3.0,5.0,3.2,5.0,4.0,1.0,1.0,2.0
8.0,6.0,22.0,18.0,16.0,8.0,4.0,0.0,1.0,5.0,3.2,2.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,6.0,3.67,5.0,4.0,2.0,2.0,7.0
1.0,1.0,5.0,4.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,2.67,4.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,4.0,0.0,1.0,0.0,6.0
2.0,2.0,7.0,6.0,5.0,4.0,1.0,2.0,2.0,2.0,2.5,2.5,3.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,3.5,3.0,1.0,1.0,0.0,2.0
3.0,3.0,8.0,8.0,7.0,5.0,1.0,2.0,1.0,3.0,2.67,2.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,0.0,4.0
4.0,3.0,13.0,10.0,8.0,5.0,4.0,2.0,1.0,3.0,2.67,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,4.33,2.0,1.0,2.0,1.0,1.0
5.0,3.0,13.0,13.0,10.0,6.0,5.0,3.0,0.0,4.0,2.5,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,4.33,1.0,1.0,2.0,1.0,8.0
6.0,4.0,15.0,15.0,13.0,10.0,4.0,1.0,0.0,5.0,2.6,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,3.75,1.0,2.0,2.0,1.0,7.0
7.0,6.0,16.0,15.0,13.0,13.0,4.0,4.0,1.0,5.0,2.6,4.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,2.67,5.0,4.0,2.0,0.0,4.0
8.0,5.0,20.0,17.0,17.0,16.0,7.0,3.0,0.0,6.0,2.83,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,4.0,1.0,2.0,3.0,1.0,6.0
1.0,1.0,4.0,3.0,2.0,2.0,0.0,0.0,6.0,1.0,2.0,2.5,0.0,5.0,1.0,0.0,5.0,1.0,2.0,0.0,7.0,2.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0
2.0,2.0,8.0,3.0,3.0,2.0,1.0,1.0,5.0,2.0,1.5,2.8,3.0,5.0,2.0,0.0,4.0,1.0,3.0,0.0,5.0,1.0,2.0,2.0,4.0,3.0,0.0,2.0,0.0,2.0
3.0,3.0,13.0,8.0,5.0,3.0,2.0,1.0,4.0,3.0,1.67,3.0,2.0,5.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,4.33,2.0,0.0,3.0,0.0,6.0
4.0,3.0,13.0,11.0,6.0,5.0,3.0,0.0,4.0,4.0,1.5,3.25,2.0,5.0,4.0,0.0,3.0,1.0,2.0,0.0,2.0,3.0,1.0,3.0,4.33,2.0,0.0,3.0,0.0,4.0
5.0,3.0,13.0,11.0,8.0,7.0,5.0,1.0,5.0,3.0,2.67,4.0,2.0,5.0,3.0,0.0,2.0,3.0,2.0,0.0,8.0,3.0,1.0,3.0,4.33,2.0,0.0,3.0,0.0,4.0
6.0,4.0,18.0,12.0,12.0,9.0,7.0,0.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,1.0,2.0,2.0,3.0,0.0,8.0,2.0,0.0,4.0,4.5,1.0,0.0,4.0,1.0,6.0
7.0,5.0,21.0,13.0,12.0,11.0,7.0,1.0,3.0,5.0,2.6,3.33,1.0,5.0,4.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,5.0,4.2,1.0,1.0,4.0,1.0,7.0
8.0,6.0,24.0,15.0,15.0,11.0,9.0,2.0,2.0,6.0,2.5,4.0,1.0,5.0,5.0,1.0,1.0,1.0,4.0,0.0,5.0,2.0,0.0,6.0,4.0,1.0,2.0,4.0,1.0,6.0
9.0,7.0,27.0,15.0,15.0,14.0,12.0,4.0,3.0,6.0,2.5,4.33,1.0,5.0,5.0,1.0,1.0,2.0,4.0,0.0,4.0,1.0,1.0,7.0,3.86,1.0,3.0,4.0,1.0,7.0
1.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,4.0,1.0,3.0,5.25,4.0,5.0,1.0,0.0,0.0,4.0,2.0,0.0,6.0,0.0,3.0,1.0,4.0,4.0,0.0,1.0,0.0,8.0
2.0,1.0,4.0,4.0,3.0,2.0,1.0,0.0,3.0,2.0,2.0,3.0,4.0,5.0,2.0,0.0,2.0,1.0,2.0,0.0,5.0,3.0,3.0,1.0,4.0,4.0,0.0,1.0,0.0,6.0
3.0,2.0,9.0,6.0,6.0,4.0,3.0,2.0,3.0,2.0,2.0,4.33,3.0,5.0,2.0,0.0,1.0,2.0,3.0,0.0,3.0,1.0,2.0,2.0,4.5,3.0,0.0,2.0,1.0,4.0
4.0,4.0,10.0,9.0,8.0,4.0,3.0,2.0,4.0,2.0,2.0,4.5,2.0,5.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,4.0,2.5,2.0,3.0,1.0,0.0,8.0
5.0,3.0,14.0,10.0,9.0,8.0,6.0,0.0,6.0,2.0,4.0,5.0,5.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,6.0,0.0,1.0,3.0,4.67,5.0,0.0,3.0,1.0,4.0
6.0,5.0,14.0,14.0,10.0,9.0,6.0,1.0,6.0,3.0,3.0,5.0,2.0,5.0,2.0,1.0,0.0,6.0,5.0,0.0,4.0,3.0,0.0,5.0,2.8,2.0,3.0,2.0,0.0,6.0
7.0,4.0,16.0,14.0,9.0,7.0,6.0,2.0,7.0,3.0,3.0,4.86,5.0,5.0,2.0,1.0,0.0,7.0,5.0,0.0,4.0,1.0,1.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0
8.0,4.0,16.0,14.0,13.0,11.0,9.0,0.0,7.0,4.0,3.25,5.14,5.0,5.0,2.0,2.0,0.0,7.0,6.0,0.0,4.0,1.0,2.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0
9.0,4.0,16.0,14.0,13.0,11.0,10.0,2.0,8.0,4.0,3.25,5.0,5.0,5.0,2.0,2.0,0.0,8.0,6.0,0.0,4.0,3.0,2.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0
10.0,5.0,21.0,17.0,14.0,13.0,12.0,0.0,8.0,5.0,3.4,5.0,5.0,5.0,2.0,3.0,0.0,8.0,6.0,0.0,4.0,1.0,1.0,5.0,4.2,5.0,1.0,4.0,2.0,5.0
1.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,3.75,0.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0
2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,3.6,0.0,5.0,1.0,0.0,3.0,2.0,1.0,0.0,5.0,3.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0
3.0,2.0,7.0,4.0,3.0,3.0,1.0,1.0,5.0,1.0,1.0,3.6,2.0,5.0,1.0,0.0,3.0,2.0,1.0,0.0,6.0,5.0,2.0,2.0,3.5,2.0,1.0,1.0,0.0,2.0
4.0,3.0,12.0,8.0,5.0,4.0,1.0,1.0,5.0,1.0,1.0,3.6,3.0,5.0,1.0,0.0,3.0,2.0,1.0,0.0,8.0,1.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,5.0
5.0,4.0,14.0,10.0,10.0,4.0,1.0,2.0,6.0,1.0,1.0,3.5,4.0,5.0,1.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,4.0,3.5,4.0,2.0,2.0,1.0,3.0
6.0,4.0,14.0,11.0,10.0,7.0,3.0,0.0,8.0,2.0,1.5,3.25,4.0,5.0,2.0,0.0,6.0,2.0,2.0,0.0,7.0,3.0,1.0,4.0,3.5,4.0,2.0,2.0,1.0,3.0
7.0,5.0,18.0,15.0,13.0,9.0,4.0,2.0,7.0,3.0,1.33,3.57,5.0,0.0,3.0,0.0,5.0,2.0,2.0,0.0,2.0,1.0,2.0,5.0,3.6,5.0,2.0,3.0,1.0,7.0
8.0,6.0,21.0,15.0,13.0,9.0,4.0,1.0,8.0,3.0,1.33,3.25,5.0,0.0,3.0,0.0,6.0,2.0,2.0,0.0,8.0,1.0,1.0,6.0,3.5,5.0,3.0,3.0,1.0,5.0
9.0,7.0,26.0,17.0,13.0,9.0,4.0,1.0,9.0,3.0,1.33,3.22,5.0,5.0,3.0,0.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,7.0,3.71,5.0,3.0,4.0,1.0,6.0
1.0,2.0,4.0,3.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,8.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,7.0
2.0,2.0,8.0,7.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,3.5,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,6.0
3.0,3.0,10.0,7.0,7.0,5.0,5.0,3.0,2.0,1.0,5.0,3.5,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,1.0,3.0,3.33,3.0,2.0,1.0,0.0,2.0
4.0,2.0,10.0,10.0,8.0,7.0,7.0,0.0,3.0,2.0,5.0,4.67,3.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.33,3.0,2.0,1.0,0.0,4.0
5.0,5.0,13.0,10.0,10.0,7.0,7.0,2.0,3.0,2.0,5.0,4.67,5.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,5.0,5.0,2.6,5.0,4.0,1.0,1.0,5.0
6.0,6.0,15.0,10.0,10.0,7.0,7.0,4.0,3.0,2.0,5.0,4.67,5.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,8.0,2.0,4.0,6.0,2.5,5.0,5.0,1.0,1.0,5.0
7.0,7.0,17.0,16.0,13.0,7.0,7.0,0.0,2.0,3.0,5.33,4.0,5.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,7.0,2.43,5.0,6.0,1.0,1.0,5.0
